loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_age,sy_dist,pl_bmass (Msun)
2578,HD 188641 b,HD 188641,1,1,1,0,Radial Velocity,14583.81038,12.027,,29.365,0.034,49.245,,,,1.07,,,,,64.3399,0.028031828999999998
2579,HD 189567 b,HD 189567,1,1,2,0,Radial Velocity,14.288,0.111,,0.02674,0.189,,G3 V,5726.0,,0.83,-0.24,[Fe/H],0.324,11.0,17.9055,2.5526004e-05
2580,HD 189567 c,HD 189567,1,1,2,0,Radial Velocity,33.688,0.197,,0.02202,0.16,,G3 V,5726.0,,0.83,-0.24,[Fe/H],0.324,11.0,17.9055,2.1020292e-05
2584,HD 189733 b,HD 189733,1,2,1,0,Radial Velocity,2.21857567,,1.13,1.13,0.0,85.71,,5052.0,0.75,0.79,-0.02,[Fe/H],,,19.7638,0.001078698
2603,HD 190007 b,HD 190007,1,1,1,0,Radial Velocity,11.724128,,,0.04877,0.136,,K4 V,4610.0,,0.77,0.16,[Fe/H],,,12.7141,4.6555842e-05
2604,HD 190228 b,HD 190228,1,1,1,0,Radial Velocity,1143.59858,2.406,,5.03,0.559,94.987,,,,1.42,,,,,62.7146,0.004801638
2610,HD 190360 b,HD 190360,1,2,2,0,Radial Velocity,2854.0,3.9,,1.8,0.34,80.2,G V,,,1.0,,,,,16.0069,0.00171828
2615,HD 190360 c,HD 190360,1,2,2,0,Radial Velocity,17.111,0.1304,,0.06,0.237,,,5549.0,1.17,0.98,0.19,[M/H],0.066,,16.0069,5.7276e-05
2620,HD 190647 b,HD 190647,1,1,1,0,Radial Velocity,1176.45,2.231,,1.985,0.224,,,5656.0,1.38,1.07,0.23,[Fe/H],,7.957,54.4738,0.0018948810000000002
2622,HD 190984 b,HD 190984,1,1,1,0,Radial Velocity,4885.0,5.5,,3.1,0.57,,F8 V,5988.0,1.53,0.91,-0.48,[Fe/H],0.43,,148.187,0.00295926
2625,HD 191806 b,HD 191806,1,1,1,0,Radial Velocity,1603.38923,2.749,,9.334,0.213,66.519,,,,1.07,,,,,65.6668,0.0089102364
2630,HD 191939 b,HD 191939,1,1,6,0,Transit,8.8803256,0.0804,0.304,0.03146,0.031,88.1,G9 V,5348.0,0.94,0.81,-0.15,[Fe/H],-0.187,8.7,53.6089,3.0031716000000003e-05
2637,HD 191939 c,HD 191939,1,1,6,0,Transit,28.579743,0.1752,0.285,0.02517,0.034,89.1,G9 V,5348.0,0.94,0.81,-0.15,[Fe/H],-0.187,8.7,53.6089,2.4027282e-05
