loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_age,sy_dist,pl_bmass (Msun)
2144,HD 13908 c,HD 13908,1,1,2,0,Radial Velocity,931.0,2.03,,5.13,0.12,,F8 V,6255.0,1.67,1.29,0.01,[Fe/H],0.602,2.9,79.5515,0.004897098
2166,HD 141399 b,HD 141399,1,1,4,0,Radial Velocity,94.44,0.415,,0.451,0.04,,K0,5600.0,,1.07,0.35,[Fe/H],,,37.0169,0.0004305246
2171,HD 141399 c,HD 141399,1,1,4,0,Radial Velocity,201.99,0.689,,1.33,0.048,,K0,5600.0,,1.07,0.35,[Fe/H],,,37.0169,0.0012696180000000001
2172,HD 141399 d,HD 141399,1,1,4,0,Radial Velocity,1069.8,2.09,,1.18,0.074,,K0,5600.0,,1.07,0.35,[Fe/H],,,37.0169,0.0011264279999999998
2222,HD 147018 c,HD 147018,1,1,2,0,Radial Velocity,1008.0,1.922,,6.56,0.133,,G9 V,5441.0,,0.93,0.1,[Fe/H],,6.36,40.4256,0.0062621759999999995
2233,HD 148164 c,HD 148164,1,1,2,0,Radial Velocity,5062.0,6.15,,5.16,0.125,,F8,6032.0,1.34,1.21,0.24,[Fe/H],0.33,2.41,77.1971,0.004925736
2259,HD 151450 c,HD 151450,1,1,2,0,Radial Velocity,18144.76236,14.131,,5.148,0.138,42.369,,,,1.14,,,,,43.6002,0.0049142807999999994
2295,HD 154857 c,HD 154857,1,1,2,0,Radial Velocity,3452.0,5.36,,2.58,0.06,,G5 V,5605.0,1.76,1.72,-0.2,[Fe/H],,,63.4482,0.002462868
2297,HD 155358 b,HD 155358,1,1,2,0,Radial Velocity,194.3,0.63,,0.99,0.17,,,5905.0,1.38,1.15,-0.6,[Fe/H],,,43.6197,0.000945054
2299,HD 155358 c,HD 155358,1,1,2,0,Radial Velocity,391.9,1.02,,0.82,0.16,,G0,5900.0,,0.92,-0.51,[Fe/H],,10.7,43.6197,0.0007827719999999999
2301,HD 155918 c,HD 155918,1,1,2,0,Radial Velocity,17202.19446,13.183,,5.909,0.071,31.771,,,,1.03,,,,,27.561,0.0056407314
2331,HD 159243 b,HD 159243,1,1,2,0,Radial Velocity,12.62,0.11,,1.13,0.02,,G0 V,6123.0,1.12,1.12,0.05,[Fe/H],0.114,1.25,73.3055,0.001078698
2332,HD 159243 c,HD 159243,1,1,2,0,Radial Velocity,248.4,0.8,,1.9,0.075,,G0 V,6123.0,1.12,1.12,0.05,[Fe/H],0.114,1.25,73.3055,0.0018137399999999999
2334,HD 159868 b,HD 159868,1,1,2,0,Radial Velocity,1184.1,2.32,,2.218,0.024,,,5534.0,2.13,1.19,,,,,55.8503,0.0021173028
2338,HD 159868 c,HD 159868,1,1,2,0,Radial Velocity,351.0,1.032,,0.768,0.184,,,5534.0,2.13,1.19,,,,,55.8503,0.0007331328
2341,HD 1605 b,HD 1605,1,1,2,0,Radial Velocity,577.2,1.492,,0.934,0.095,,K1 IV,4915.0,3.49,1.33,0.22,[Fe/H],0.81,4.36,88.8047,0.0008915964000000001
2343,HD 1605 c,HD 1605,1,1,2,0,Radial Velocity,2149.0,3.584,,3.62,0.099,,K1 IV,4915.0,3.49,1.33,0.22,[Fe/H],0.81,4.36,88.8047,0.003455652
2375,HD 163607 c,HD 163607,1,1,2,0,Radial Velocity,1272.0,2.39,,2.201,0.08,,,5522.0,1.76,1.12,,,,,67.7855,0.0021010746
2384,HD 164922 b,HD 164922,1,1,4,0,Radial Velocity,1207.0,2.16,,0.36497,0.08,,,5390.0,0.95,0.93,0.18,[Fe/H],-0.149,9.58,22.0016,0.00034840036200000003
2439,HD 169830 c,HD 169830,1,1,2,0,Radial Velocity,1818.82339,3.075,,7.669,0.246,24.469,,,,1.17,,,,,37.6048,0.0073208273999999995
2519,HD 18143 c,HD 18143,1,1,2,0,Radial Velocity,28982.41764,17.53,,9.998,0.194,35.98,,,,0.85,,,,,22.5243,0.0095440908
2543,HD 183263 c,HD 183263,1,1,2,0,Radial Velocity,4667.97841,5.585,,9.31,0.051,73.718,,,,1.06,,,,,54.1955,0.008887326000000001
2548,HD 184010 b,HD 184010,1,1,3,0,Radial Velocity,286.6,0.94,,0.31,0.0,,K0 III-IV,4971.0,4.86,1.35,-0.17,[Fe/H],1.117,2.76,60.7993,0.000295926
2549,HD 184010 c,HD 184010,1,1,3,0,Radial Velocity,484.3,1.334,,0.3,0.0,,K0 III-IV,4971.0,4.86,1.35,-0.17,[Fe/H],1.117,2.76,60.7993,0.00028638
2550,HD 184010 d,HD 184010,1,1,3,0,Radial Velocity,836.4,1.92,,0.45,0.0,,K0 III-IV,4971.0,4.86,1.35,-0.17,[Fe/H],1.117,2.76,60.7993,0.00042957
2566,HD 187123 b,HD 187123,1,1,2,0,Radial Velocity,3.0965828,0.0426,,0.523,0.0103,,,5790.0,1.15,1.04,0.09,[M/H],0.127,,45.9548,0.0004992558
2643,HD 191939 e,HD 191939,1,1,6,0,Radial Velocity,101.12,0.407,,0.35302,0.031,,G9 V,5348.0,0.94,0.81,-0.15,[Fe/H],-0.187,8.7,53.6089,0.000336992892
2692,HD 200964 b,HD 200964,1,1,2,0,Radial Velocity,606.3,1.565,,1.599,0.087,,,4982.0,4.92,1.39,,,,,72.5922,0.0015264054
