loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,discoverymethod,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_age,sy_dist
132,6 Lyn b,6 Lyn,0,1,1,0,Radial Velocity,874.774,2.18,,2.21,0.125,,,,5.2,1.82,,,,,54.6599
133,6 Lyn b,6 Lyn,1,1,1,0,Radial Velocity,919.86,2.028,,1.881,0.042,,K0 IV,4941,4.94,1.32,-0.17,[Fe/H],1.119,,54.6599
134,6 Lyn b,6 Lyn,0,1,1,0,Radial Velocity,934.3,2.11,,2.01,0.073,,,4938,5.2,1.44,,,,,54.6599
135,61 Vir b,61 Vir,0,1,3,0,Radial Velocity,4.21487,0.04956,,0.0161,0.099,,,5585.57,1.03,0.91,0.028,[Fe/H],,,8.50332
136,61 Vir b,61 Vir,1,1,3,0,Radial Velocity,4.215,0.050201,,0.016,0.12,,G5 V,5577,0.96,0.94,-0.01,[Fe/H],-0.095,8.96,8.50332
137,61 Vir c,61 Vir,0,1,3,0,Radial Velocity,38.0957,0.2151,,0.0507,0.068,,,5585.57,1.03,0.91,0.028,[Fe/H],,,8.50332
138,61 Vir c,61 Vir,1,1,3,0,Radial Velocity,38.021,0.2175,,0.057,0.14,,G5 V,5577,0.96,0.94,-0.01,[Fe/H],-0.095,8.96,8.50332
139,61 Vir d,61 Vir,1,1,3,0,Radial Velocity,123.01,0.476,,0.072,0.35,,G5 V,5577,0.96,0.94,-0.01,[Fe/H],-0.095,8.96,8.50332
140,7 CMa b,7 CMa,0,1,2,0,Radial Velocity,,1.8,,1.94,,,,,5.2,1.44,,,1.121,,19.8101
141,7 CMa b,7 CMa,0,1,2,0,Radial Velocity,763,1.9,,2.6,0.14,,K1 III,4792,2.3,1.52,0.21,[Fe/H],1.053,,19.8101
142,7 CMa b,7 CMa,1,1,2,0,Radial Velocity,735.1,1.758,,1.85,0.06,90,,4826,4.87,1.34,0.21,[Fe/H],1.063,4.3,19.8101
143,7 CMa b,7 CMa,0,1,2,0,Radial Velocity,796,1.93,,2.46,0.22,,,4794.52,4.91,,0.088,[M/H],,,19.8101
144,7 CMa c,7 CMa,1,1,2,0,Radial Velocity,996,2.153,,0.87,0.08,90,,4826,4.87,1.34,0.21,[Fe/H],1.063,4.3,19.8101
145,7 CMa c,7 CMa,0,1,2,0,Radial Velocity,,2.205,,0.912,,,,,5.2,1.44,,,1.121,,19.8101
146,70 Vir b,70 Vir,0,1,1,0,Radial Velocity,116.6884,0.484,,7.49,0.4007,,,5545,,1.11,-0.012,[Fe/H],,8,17.9011
147,70 Vir b,70 Vir,1,1,1,0,Radial Velocity,116.688,0.481,,7.416,0.3988,,,5495,1.89,1.09,,,,,17.9011
148,70 Vir b,70 Vir,0,1,1,0,Radial Velocity,116.6926,0.481,,7.4,0.399,,,5439,1.94,1.09,-0.09,[Fe/H],0.451,7.77,17.9011
149,70 Vir b,70 Vir,0,1,1,0,Radial Velocity,116.69335,0.4765,,7.23,0.3989,,,5481.86,1.92,1.06,-0.04,[Fe/H],,,17.9011
150,70 Vir b,70 Vir,0,1,1,0,Radial Velocity,116.6884,0.48,,7.62,0.4,,,5531,1.84,1.14,-0.06,[Fe/H],,,17.9011
151,70 Vir b,70 Vir,0,1,1,0,Radial Velocity,116.689,0.456,,6.56,0.397,,,,,,,,,,17.9011
152,75 Cet b,75 Cet,1,2,2,0,Radial Velocity,696.62,1.912,,2.479,0.093,,G3 III,4809,10.38,1.92,0.1,[Fe/H],1.714,,82.9613
153,75 Cet b,75 Cet,0,2,2,0,Radial Velocity,691.9,2.1,,3,0.117,,G3 III,4846,10.5,2.49,0,[Fe/H],1.73,,82.9613
154,75 Cet c,75 Cet,1,2,2,0,Radial Velocity,2051.62,3.929,,0.912,0.023,,G3 III,4809,10.38,1.92,0.1,[Fe/H],1.714,,82.9613
155,8 UMi b,8 UMi,1,1,1,0,Radial Velocity,93.4,0.49,,1.31,0.06,,,4847,10.3,1.44,-0.03,[Fe/H],,,162.552
156,8 UMi b,8 UMi,0,1,1,0,Radial Velocity,93.4,0.49,,1.5,0.06,,K0,4847.4,9.9,1.8,-0.03,[Fe/H],,1.7,162.552
157,81 Cet b,81 Cet,0,1,1,0,Radial Velocity,952.7,2.5,,5.3,0.206,,G5 III,4785,11,2.4,-0.06,[Fe/H],1.778,,101.26
158,81 Cet b,81 Cet,0,1,1,0,Radial Velocity,,2.17,,4.01,,,,,,1.6,,,,,101.26
159,81 Cet b,81 Cet,1,1,1,0,Radial Velocity,1005.57,2.104,,3.307,0.037,,G5 III,4734,11.21,1.23,-0.11,[Fe/H],1.76,,101.26
160,91 Aqr b,91 Aqr,1,3,1,0,Radial Velocity,181.4,0.7,,3.2,0.027,,K0 III,4665,11,1.4,-0.03,[Fe/H],,3.56,44.0304
161,AB Aur b,AB Aur,1,1,1,0,Imaging,,93.9,,9,0.4,42.6,,9770,,2.4,,,1.771,0.003,162.127
162,AB Pic b,AB Pic,1,1,1,0,Imaging,,260,,13.5,,,K2 V,,,,,,,0.03,50.0475
163,AF Lep b,AF Lep,0,1,1,0,Imaging,7520,7.99,,5.237,0.47,82,F8 V,6100,1.25,1.2,,,,0.024,26.8564
164,AF Lep b,AF Lep,1,1,1,0,Imaging,8030,8.4,,3.2,0.24,50,F8 V,6130,1.25,1.2,0.19,[Fe/H],,0.024,26.8564
165,AF Lep b,AF Lep,0,1,1,0,Imaging,9060,9.3,,4.3,0.32,98,F8 V,6140,,1.13,,,,0.024,26.8564
166,AU Mic b,AU Mic,0,1,3,0,Transit,8.4630004,0.0644,0.374,,0.12,89.18,,,0.75,,,,,,9.7221
167,AU Mic b,AU Mic,0,1,3,0,Transit,8.46321,,,,0,,,,,,,,,,9.7221
168,AU Mic b,AU Mic,0,1,3,0,Transit,,,0.359,,,,,3588,0.7,,,,,,9.7221
169,AU Mic b,AU Mic,0,1,3,0,Transit,8.46321,0.066,0.375,0.18,0.1,,,3700,0.75,0.5,,,-1.046,0.022,9.7221
170,AU Mic b,AU Mic,0,1,3,0,Transit,8.46321,,,0.0538,,89.5,M1,3700,0.75,0.5,,,-1.046,0.022,9.7221
171,AU Mic b,AU Mic,0,1,3,0,Transit,8.463,,,0.03681,0.04,,,3700,0.75,0.5,,,-1.046,0.022,9.7221
172,AU Mic b,AU Mic,0,1,3,0,Transit,8.463,0.0645,0.363,0.05349,0,89.5,,3700,0.75,0.5,,,,0.022,9.7221
173,AU Mic b,AU Mic,0,1,3,0,Transit,8.46308,0.0649,0.353,,0.00577,89.579,,3678,0.74,0.51,0.23,[Fe/H],-1.038,0.02,9.7221
