a1,f1,megno1,final_e1,final_theta1,a2,f2,megno2,final_e2,final_theta2,stable1,stable2
0.9922448979591838,0.7800553187484861,10.0,3.8792954444652006,285.9371524367777,0.9922448979591838,0.7800553187484861,10.0,2.5920154495132497,20.780981616500643,0,0
0.9922448979591838,0.8014266973443349,10.0,1.0332922161330853,199.32168014553767,0.9922448979591838,0.8014266973443349,10.0,4.99452964832404,2.359685661970736,0,0
0.9922448979591838,0.8227980759401838,10.0,1.0060122615932978,113.05578525096347,0.9922448979591838,0.8227980759401838,10.0,5.526017831963049,24.655892180616153,0,0
0.9922448979591838,0.8441694545360328,10.0,0.9964466950023216,146.07703441591138,0.9922448979591838,0.8441694545360328,10.0,2.577515113019042,62.21484105897815,0,0
0.9922448979591838,0.8655408331318819,10.0,0.9900037712814749,121.98400204805034,0.9922448979591838,0.8655408331318819,10.0,6.9615425881588795,24.72032665982684,0,0
0.9922448979591838,0.8869122117277307,10.0,3.116132207542698,140.72241782462305,0.9922448979591838,0.8869122117277307,10.0,1.0079690989503356,195.7019588769864,0,0
0.9922448979591838,0.9082835903235795,10.0,1.0584729164989193,253.1053470526916,0.9922448979591838,0.9082835903235795,10.0,1.9255118166347585,13.161431569703987,0,0
0.9922448979591838,0.9296549689194287,10.0,3.8292525394271486,186.9429107403961,0.9922448979591838,0.9296549689194287,10.0,0.9775439247540704,77.15818155955068,0,0
0.9922448979591838,0.9510263475152778,10.0,5.9378622387901645,9.055601376073904,0.9922448979591838,0.9510263475152778,10.0,101.31665771827183,37.078019928174825,0,0
0.9922448979591838,0.9723977261111264,10.0,2.4495663422035507,186.6008566032473,0.9922448979591838,0.9723977261111264,10.0,2.676210455283994,190.21825783555147,0,0
0.9922448979591838,0.9937691047069753,10.0,1.2179686256733695,175.67603599475163,0.9922448979591838,0.9937691047069753,10.0,0.9978708219394592,232.13267571232703,0,0
0.9922448979591838,1.0151404833028244,10.0,1.131801686345851,116.05078254690208,0.9922448979591838,1.0151404833028244,10.0,1.1770553167079496,141.52604799547612,0,0
0.9922448979591838,1.0365118618986733,10.0,0.959592858063169,177.29028620161466,0.9922448979591838,1.0365118618986733,10.0,1.0008502997241056,122.12325386218939,0,0
0.9922448979591838,1.0578832404945222,10.0,2.188102740820115,44.92148403502185,0.9922448979591838,1.0578832404945222,10.0,1.2988903704255907,234.1591788162716,0,0
0.9922448979591838,1.0792546190903711,10.0,0.9462394201753904,161.2821874950733,0.9922448979591838,1.0792546190903711,10.0,1.0016569243021731,20.1991222342418,0,0
0.9922448979591838,1.10062599768622,10.0,1.183409237651146,160.41799254042775,0.9922448979591838,1.10062599768622,10.0,1.204231945732717,69.54496165090973,0,0
0.9922448979591838,1.1219973762820687,10.0,1.0302452909065476,60.246183076421005,0.9922448979591838,1.1219973762820687,10.0,1.1046875879531557,96.77580113702832,0,0
0.9922448979591838,1.143368754877918,10.0,9.854969740023453,19.005249055687244,0.9922448979591838,1.143368754877918,10.0,2.0406086373048686,117.52723441818549,0,0
0.9922448979591838,1.1647401334737668,10.0,0.94255420216795,133.14488280887784,0.9922448979591838,1.1647401334737668,10.0,1.8501246959074,251.44009827934568,0,0
0.9922448979591838,1.186111512069616,10.0,0.9286708658627,236.82701514446023,0.9922448979591838,1.186111512069616,10.0,1.1363325052612747,52.13499373725073,0,0
0.9922448979591838,1.2074828906654647,10.0,1.0818510039198943,27.6471083682592,0.9922448979591838,1.2074828906654647,10.0,0.9078430068264078,7.5296959006378525,0,0
0.9922448979591838,1.2288542692613138,10.0,1.39575406794253,6.679734877110174,0.9922448979591838,1.2288542692613138,10.0,0.9693258937383236,81.96633929958936,0,0
0.9922448979591838,1.2502256478571625,10.0,8.435127543763203,86.08724595803957,0.9922448979591838,1.2502256478571625,10.0,2.4563053433003312,248.00169163013297,0,0
0.9922448979591838,1.2715970264530116,10.0,3.684110459892023,201.34415344705027,0.9922448979591838,1.2715970264530116,10.0,1.0773889141052155,46.168429762383234,0,0
0.9922448979591838,1.2929684050488603,10.0,3.732635437631453,125.32523421159448,0.9922448979591838,1.2929684050488603,10.0,0.9701548766067357,99.94617748158399,0,0
0.9922448979591838,1.3143397836447095,10.0,1.7728533918668656,72.52149783695364,0.9922448979591838,1.3143397836447095,10.0,13.468294263223203,13.11514730259626,0,0
0.9922448979591838,1.3357111622405584,10.0,1.3291072634668564,151.5292978482782,0.9922448979591838,1.3357111622405584,10.0,162.79610626628445,136.65041460970528,0,0
0.9922448979591838,1.3570825408364071,10.0,650.8649207909783,185.19954065109184,0.9922448979591838,1.3570825408364071,10.0,3.1348632888371086,256.6818029031673,0,0
0.9922448979591838,1.3784539194322563,10.0,1.8549312310528872,150.0353339150005,0.9922448979591838,1.3784539194322563,10.0,1.5472499065083867,163.33387635324283,0,0
0.9922448979591838,1.3998252980281052,10.0,128.85777777924523,140.23997226844256,0.9922448979591838,1.3998252980281052,10.0,0.9184716882564846,56.42184969795223,0,0
