a1,f1,megno1,final_e1,final_theta1,a2,f2,megno2,final_e2,final_theta2,a3,f3,megno3,final_e3,final_theta3,stable1,stable2,stable3
1.9992857142857143,1.186111512069616,1.9889674590344968,0.006017854917454931,77.84039865523367,1.9992857142857143,1.186111512069616,10.0,0.9859604404344403,62.31253033993986,1.9992857142857143,1.186111512069616,10.0,53.28744806332424,204.44659986197897,1,0,0
1.9992857142857143,1.2074828906654647,19.163156204707857,0.7868009914946088,208.4930659737693,1.9992857142857143,1.2074828906654647,10.0,5.25680085881648,184.41629544316305,1.9992857142857143,1.2074828906654647,6.819164909359633,0.10063559754881184,37.90691735301219,0,0,0
1.9992857142857143,1.2288542692613138,5.9480426303891,0.9992718956098392,151.767849073507,1.9992857142857143,1.2288542692613138,10.0,1.3493536432804236,230.8634697441917,1.9992857142857143,1.2288542692613138,10.0,3.7976596856274414,176.85234608920115,0,0,0
1.9992857142857143,1.2502256478571625,7.560938117085666,0.04528037767069912,46.70322115852522,1.9992857142857143,1.2502256478571625,10.0,1.8107070666144245,42.172269992975345,1.9992857142857143,1.2502256478571625,10.0,8.793583884524681,217.81478503237875,0,0,0
1.9992857142857143,1.2715970264530116,5.742431135564679,0.038849634324694224,103.60090048657352,1.9992857142857143,1.2715970264530116,6.906195506720495,0.06831656073565326,32.84988620788711,1.9992857142857143,1.2715970264530116,9.04661230247544,0.0767032442681451,91.59878208635865,0,0,0
1.9992857142857143,1.2929684050488603,10.0,1.1330693734070527,20.656858918309982,1.9992857142857143,1.2929684050488603,3.876892055150268,0.022376966972959315,107.04133668675787,1.9992857142857143,1.2929684050488603,10.0,2.4789101124272706,116.48709654867926,0,0,0
1.9992857142857143,1.3143397836447095,10.616240896358482,0.04810175233457012,120.50030276395724,1.9992857142857143,1.3143397836447095,5.969740557459555,0.06112885610599306,96.31320716130983,1.9992857142857143,1.3143397836447095,10.0,1.11823579470379,98.9200698567966,0,0,0
1.9992857142857143,1.3357111622405584,6.803790800723361,0.019260781005161823,100.49345863129932,1.9992857142857143,1.3357111622405584,10.0,1.2456224133836664,168.71784698217593,1.9992857142857143,1.3357111622405584,10.0,1.7539296606603405,34.82607055722728,0,0,0
1.9992857142857143,1.3570825408364071,10.0,3.9966879513623663,234.7362185295132,1.9992857142857143,1.3570825408364071,12.31903527068532,0.046650136089833184,33.605169776064095,1.9992857142857143,1.3570825408364071,10.0,1.1267479218854335,148.27122817681035,0,0,0
1.9992857142857143,1.3784539194322563,10.0,5.07531583516482,228.15954812921976,1.9992857142857143,1.3784539194322563,14.388899284028346,0.06981127867852653,26.640519211670863,1.9992857142857143,1.3784539194322563,10.0,2239.4453834150254,34.88139374062066,0,0,0
